marital,default,housing-loan,personal-loan,current-campaign,previous-campaign,age,job,subscribed,education,balance
married,no,no,no,1,0,30,unemployed,no,primary,1787
married,no,yes,yes,1,4,33,services,no,secondary,4789
single,no,yes,no,1,1,35,management,no,tertiary,1350
married,no,yes,yes,4,0,30,management,no,tertiary,1476
married,no,yes,no,1,0,59,blue-collar,no,secondary,0
single,no,no,no,2,3,35,management,no,tertiary,747
married,no,yes,no,1,2,36,self-employed,no,tertiary,307
married,no,yes,no,2,0,39,technician,no,secondary,147
married,no,yes,no,2,0,41,entrepreneur,no,tertiary,221
married,no,yes,yes,1,2,43,services,no,primary,-88
married,no,yes,no,1,0,39,services,no,secondary,9374
married,no,yes,no,2,0,43,admin.,no,secondary,264
married,no,no,no,2,0,36,technician,no,tertiary,1109
single,no,no,no,1,0,20,student,yes,secondary,502
married,no,yes,yes,1,1,31,blue-collar,no,secondary,360
married,no,no,yes,2,0,40,management,no,tertiary,194
married,no,no,no,5,0,56,technician,no,secondary,4073
single,no,yes,no,1,2,37,admin.,no,tertiary,2317
single,no,yes,no,1,0,25,blue-collar,no,primary,-221
married,no,no,no,1,1,31,services,no,secondary,132
divorced,no,yes,no,2,0,38,management,no,unknown,0
divorced,no,no,no,3,0,42,management,no,tertiary,16
single,no,no,no,2,0,44,services,no,secondary,106
married,no,no,no,2,0,44,entrepreneur,no,secondary,93
married,no,no,no,3,0,26,housemaid,no,tertiary,543
married,no,no,no,2,0,41,management,no,tertiary,5883
married,no,yes,no,1,0,55,blue-collar,no,primary,627
married,no,no,no,1,2,67,retired,no,unknown,696
married,no,no,yes,2,0,56,self-employed,no,secondary,784
married,no,no,yes,2,0,53,admin.,no,secondary,105
divorced,no,no,no,2,0,68,retired,yes,secondary,4189
married,no,no,no,3,0,31,technician,no,secondary,171
married,no,no,no,1,0,59,management,no,secondary,42
single,no,yes,no,6,0,32,management,yes,tertiary,2536
married,no,no,no,3,0,49,technician,yes,tertiary,1235
divorced,no,yes,no,1,0,42,admin.,no,secondary,1811
divorced,no,no,no,1,0,78,retired,yes,primary,229
married,no,yes,no,1,0,32,blue-collar,yes,secondary,2089
married,no,yes,no,1,2,33,management,yes,secondary,3935
single,no,yes,no,18,0,23,services,no,tertiary,363
single,no,yes,no,2,3,38,management,no,tertiary,11971
single,no,no,no,2,0,36,management,no,tertiary,553
